MOVIE,STARS,RATING,RATING_COUNT
Movie1 (2015),4,3.9,34846
Movie2 (2015),4.5,4.5,34390
Movie3 (2015),5,4.8,34085
Movie4 (2015),5,4.8,33538
Movie5 (2015),4.5,4.5,15749
Movie6 (2014),4.5,4.3,15337
Movie7 (2015),4.5,4.2,15205
Movie8 (2015),4,4,14998
Movie9 (2015),5,4.5,14846
Movie10 (2014),3.5,3.4,13055
Movie11 (2015),5,4.5,12640
Movie12 (2015),5,4.5,12055
Movie13 (2015),4.5,4.3,10509
Movie14 (2015),4.5,4.3,9749
Movie15 (2014),4.5,4.1,9443
Movie16 (2015),4.5,4.3,9418
Movie17 (2015),4.5,4.4,9363
Movie18 (2015),4.5,4.1,8381
Movie19 (2015),4.5,4.4,8357
Movie20 (2015),5,4.8,8096
Movie21 (2015),4,3.7,8077
Movie22 (2014),5,4.6,8055
Movie23 (2015),4.5,4.4,7705
Movie24 (2015),4.5,4.2,7123
Movie25 (2014),5,4.6,7025
Movie26 (2014),4.5,4.2,6835
Movie27 (2015),4.5,4.1,6757
Movie28 (2015),4.5,4.4,6506
Movie29 (2015),4.5,4.1,6437
Movie30 (2015),3,2.7,6288
Movie31 (2015),4.5,4.2,6272
Movie32 (2015),4,3.9,5933
Movie33 (2015),5,4.6,5597
Movie34 (2014),4.5,4.1,5445
Movie35 (2015),4,3.9,4933
Movie36 (2015),4.5,4.2,4577
Movie37 (2015),3.5,3.3,4493
Movie38 (2015),4.5,4.2,4279
Movie39 (2014),4,3.7,4194
Movie40 (2015),3.5,3.4,4122
Movie41 (2015),4.5,4.3,4045
Movie42 (2015),4.5,4.1,3886
Movie43 (2015),4,3.8,3815
Movie44 (2015),5,4.8,3740
Movie45 (2015),4,3.8,3642
Movie46 (2015),4.5,4.1,3458
Movie47 (2015),4.5,4.5,3412
Movie48 (2015),5,4.6,3364
Movie49 (2015),4.5,4.2,3325
Movie50 (2015),4.5,4.1,3276
Movie51 (2014),4,3.5,3223
Movie52 (2015),3.5,3.5,3054
Movie53 (2015),4,3.6,2800
Movie54 (2015),3,2.8,2704
Movie55 (2015),4.5,4.1,2686
Movie56 (2015),4,3.7,2680
Movie57 (2015),4,3.7,2618
Movie58 (2015),4.5,4.5,2603
Movie59 (2015),3,2.7,2507
Movie60 (2015),4.5,4.4,2435
Movie61 (2015),3.5,3.1,2284
Movie62 (2015),4.5,4.2,2273
Movie63 (2015),4.5,4.3,2195
Movie64 (2015),3,2.9,2097
Movie65 (2015),4.5,4.1,2066
Movie66 (2015),5,4.6,1922
Movie67 (2015),3,2.9,1896
Movie68 (2015),4,3.9,1870
Movie69 (2015),4.5,4.2,1862
Movie70 (2015),4,3.7,1834
Movie71 (2015),5,4.5,1793
Movie72 (2015),4,3.8,1750
Movie73 (2015),3,3,1651
Movie74 (2014),4,3.8,1501
Movie75 (2015),4,3.7,1462
Movie76 (2015),3,2.8,1430
Movie77 (2015),4,3.8,1415
Movie78 (2015),4,4,1348
Movie79 (2015),3,3,1333
Movie80 (2015),4.5,4.1,1258
Movie81 (2015),3.5,3.2,1213
Movie82 (2015),3.5,3.2,1196
Movie83 (2015),3.5,3.4,1117
Movie84 (2014),3,2.9,1078
Movie85 (2015),5,4.6,1035
Movie86 (2015),3.5,3,1021
Movie87 (2015),3.5,3.4,996
Movie88 (2015),3.5,3.3,973
Movie89 (2015),4,3.9,917
Movie90 (2015),4.5,4,896
Movie91 (2015),4.5,4,864
Movie92 (2015),3.5,3.2,821
Movie93 (2015),4,3.6,811
Movie94 (2015),4.5,4.3,811
Movie95 (2015),4.5,4,804
Movie96 (2015),4.5,4.4,729
Movie97 (2015),5,4.8,716
Movie98 (2015),4.5,4.2,701
Movie99 (2014),3.5,3.4,675
Movie100 (2015),4,3.7,638
Movie101 (2015),4.5,4.3,624
Movie102 (2015),3.5,3.2,540
Movie103 (2015),5,4.6,536
Movie104 (2015),4,4,531
Movie105 (2015),4.5,4.1,496
Movie106 (2015),3.5,3.4,482
Movie107 (2015),4.5,4.5,450
Movie108 (2015),3,2.9,449
Movie109 (2015),5,4.8,409
Movie110 (2015),4.5,4.5,400
Movie111 (2015),4.5,4,397
Movie112 (2015),5,4.9,381
Movie113 (2015),4,4,316
Movie114 (2015),4,3.7,308
Movie115 (2014),3.5,3.2,290
Movie116 (2015),4,3.6,281
Movie117 (2015),5,4.7,261
Movie118 (2015),4.5,4.3,259
Movie119 (2015),4,3.5,252
Movie120 (2014),4.5,4.1,235
Movie121 (2015),4.5,4.3,225
Movie122 (2015),5,4.6,219
Movie123 (2015),4,3.5,218
Movie124 (2015),5,4.7,215
Movie125 (2015),3,2.9,210
Movie126 (2015),3.5,3.5,192
Movie127 (2015),4.5,4.4,189
Movie128 (2015),4,3.9,186
Movie129 (2015),4,3.8,176
Movie130 (2015),3.5,3.4,162
Movie131 (2015),5,4.8,131
Movie132 (2015),5,4.7,128
Movie133 (2015),4,3.9,127
Movie134 (2015),4,3.9,124
Movie135 (2015),3.5,3.2,123
Movie136 (2015),4.5,4.1,121
Movie137 (2014),3.5,3.5,118
Movie138 (2015),4.5,4.4,117
Movie139 (2015),4.5,4.1,112
Movie140 (2015),5,4.7,110
Movie141 (2015),3.5,3.3,110
Movie142 (2015),4,3.9,109
Movie143 (2015),4.5,4.4,99
Movie144 (2015),3.5,3.3,95
Movie145 (2015),5,4.8,85
Movie146 (2014),5,4.6,83
Movie147 (2015),4.5,4.3,83
Movie148 (2015),4,3.9,83
Movie149 (2015),5,4.8,80
Movie150 (2015),4,3.6,79
Movie151 (2015),4,4,75
Movie152 (2015),4,3.6,74
Movie153 (2015),4,4,74
Movie154 (2015),3.5,3.4,70
Movie155 (2015),4.5,4.4,70
Movie156 (2014),4.5,4.4,70
Movie157 (2015),4.5,4.2,68
Movie158 (2015),4.5,4.2,66
Movie159 (2014),4.5,4.3,66
Movie160 (2015),3.5,3.4,66
Movie161 (2015),3,2.8,65
Movie162 (2014),4,3.5,64
Movie163 (2015),4.5,4.2,64
Movie164 (2015),4.5,4.4,64
Movie165 (2015),4.5,4.5,64
Movie166 (2015),4,3.9,63
Movie167 (2015),4,4,62
Movie168 (2015),5,4.7,61
Movie169 (2015),3,2.7,60
Movie170 (2015),5,4.5,59
Movie171 (2015),4,3.8,59
Movie172 (2015),3.5,3.5,59
Movie173 (2015),4,3.8,58
Movie174 (2015),4,3.8,58
Movie175 (2015),5,4.6,57
Movie176 (2015),4,3.6,56
Movie177 (2015),4,3.7,56
Movie178 (2015),4,3.7,55
Movie179 (2015),4.5,4.1,54
Movie180 (2015),4,3.8,54
Movie181 (2015),4,3.9,51
Movie182 (2015),4.5,4.1,50
Movie183 (2015),4.5,4.2,50
Movie184 (2015),4.5,4.3,50
Movie185 (2015),4.5,4.4,50
Movie186 (2015),3,3,50
Movie187 (2015),4,3.9,48
Movie188 (2015),4.5,4.1,46
Movie189 (2015),3.5,3.2,46
Movie190 (2015),4.5,4,45
Movie191 (2015),5,4.5,44
Movie192 (2015),4.5,4.5,44
Movie193 (2015),3.5,3.1,43
Movie194 (2015),4,3.6,43
Movie195 (2015),4,3.7,43
Movie196 (2015),4.5,4.1,42
Movie197 (2014),4,3.7,42
Movie198 (2015),4.5,4.1,41
Movie199 (2015),4.5,4.2,41
Movie200 (2015),3.5,3.5,41
Movie201 (2015),5,4.5,40
Movie202 (2015),3.5,3.2,39
Movie203 (2015),4,3.6,38
Movie204 (2015),4.5,4.2,38
Movie205 (2015),4.5,4.2,36
Movie206 (2015),4,3.9,36
Movie207 (2015),3.5,3.1,35
Movie208 (2015),3,2.7,32
Movie209 (2015),4,3.8,32
Movie210 (2015),4,3.5,31
Movie211 (2015),4.5,4,30
Movie212 (2015),3.5,3.4,30
Movie213 (2015),5,4.8,29
Movie214 (2015),4,4,29
Movie215 (2015),4,4,29
Movie216 (2015),4.5,4.2,28
Movie217 (2015),4.5,4.3,28
Movie218 (2015),5,4.9,28
Movie219 (2015),4,4,28
Movie220 (2015),4.5,4.1,27
Movie221 (2015),5,4.6,27
Movie222 (2015),4,3.8,26
Movie223 (2015),3.5,3,25
Movie224 (2015),4,3.6,25
Movie225 (2015),4,3.5,24
Movie226 (2015),3.5,3.4,24
Movie227 (2015),4.5,4.4,24
Movie228 (2015),5,4.5,23
Movie229 (2015),4,3.6,23
Movie230 (2015),4.5,4.3,23
Movie231 (2015),4,3.9,23
Movie232 (2015),4.5,4.1,22
Movie233 (2015),3.5,3.2,22
Movie234 (2015),4.5,4.2,22
Movie235 (2015),3,2.8,22
Movie236 (2015),3.5,3.4,22
Movie237 (2015),3.5,3.2,21
Movie238 (2015),3,2.8,21
Movie239 (2015),4,3.8,21
Movie240 (2015),4,3.8,21
Movie241 (2015),4.5,4.4,21
Movie242 (2015),3,3,21
Movie243 (2015),4,4,21
Movie244 (2015),4,3.6,20
Movie245 (2015),3.5,3.3,20
Movie246 (2015),3.5,3.4,20
Movie247 (2015),4,3.5,19
Movie248 (2015),4,3.6,19
Movie249 (2015),5,4.7,19
Movie250 (2015),3.5,3.3,19
Movie251 (2015),4,3.8,19
Movie252 (2015),4.5,4.4,19
Movie253 (2015),4,3.7,18
Movie254 (2015),5,4.7,18
Movie255 (2015),3,3,18
Movie256 (2015),4,3.5,17
Movie257 (2015),4,3.7,17
Movie258 (2015),4.5,4.2,17
Movie259 (2015),4.5,4.3,17
Movie260 (2015),4,3.9,17
Movie261 (2015),5,4.7,16
Movie262 (2015),2.5,2.3,16
Movie263 (2015),4.5,4.1,15
Movie264 (2015),4,3.6,15
Movie265 (2015),4.5,4.2,15
Movie266 (2015),3.5,3.3,15
Movie267 (2015),4.5,4.1,14
Movie268 (2015),5,4.6,14
Movie269 (2015),3.5,3.1,14
Movie270 (2015),3.5,3.2,14
Movie271 (2015),4,3.8,14
Movie272 (2015),4,3.9,14
Movie273 (2015),4.5,4.4,14
Movie274 (2015),4.5,4.4,14
Movie275 (2015),4.5,4.1,13
Movie276 (2015),3.5,3.2,13
Movie277 (2015),4.5,4.2,13
Movie278 (2015),5,4.9,13
Movie279 (2015),3,3,13
Movie280 (2015),4,4,13
Movie281 (2015),5,4.6,12
Movie282 (2015),4,4,12
Movie283 (2015),3,2.6,11
Movie284 (2015),3.5,3.1,11
Movie285 (2015),4,3.6,11
Movie286 (2015),3.5,3.2,11
Movie287 (2016),5,4.7,11
Movie288 (2015),4,3.8,11
Movie289 (2015),3.5,3.4,11
Movie290 (2015),4,3.5,10
Movie291 (2015),4,3.6,10
Movie292 (2015),4,3.7,10
Movie293 (2015),4,3.7,10
Movie294 (2015),5,4.7,10
Movie295 (2015),3.5,3.3,10
Movie296 (2015),4,3.9,10
Movie297 (2015),5,5,10
Movie298 (2015),4.5,4.1,9
Movie299 (2015),5,4.6,9
Movie300 (2015),5,4.6,9
Movie301 (2015),4,3.6,9
Movie302 (2015),3.5,3.3,9
Movie303 (2015),4.5,4.4,9
Movie304 (2015),5,4.9,9
Movie305 (2015),5,5,9
Movie306 (2015),4,3.5,8
Movie307 (2015),5,4.5,8
Movie308 (2015),5,4.6,8
Movie309 (2015),5,4.6,8
Movie310 (2015),4,3.6,8
Movie311 (2015),3.5,3.3,8
Movie312 (2015),5,4.8,8
Movie313 (2015),5,4.8,8
Movie314 (2015),3.5,3.4,8
Movie315 (2015),3.5,3.4,8
Movie316 (2015),4,3.9,8
Movie317 (2015),4.5,4.4,8
Movie318 (2015),5,5,8
Movie319 (2015),4,3.6,7
Movie320 (2014),3.5,3.3,7
Movie321 (2015),3.5,3.3,7
Movie322 (2014),3,3,7
Movie323 (2015),4,4,7
Movie324 (2015),5,5,7
Movie325 (2015),2,1.5,6
Movie326 (2015),5,4.5,6
Movie327 (2015),4.5,4.2,6
Movie328 (2015),4,3.8,6
Movie329 (2015),4,4,6
Movie330 (2015),5,5,6
Movie331 (2015),5,5,6
Movie332 (2015),5,4.6,5
Movie333 (2015),4,3.6,5
Movie334 (2015),4,3.6,5
Movie335 (2015),3.5,3.2,5
Movie336 (2015),4.5,4.2,5
Movie337 (2015),3,2.8,5
Movie338 (2015),3,2.8,5
Movie339 (2015),4,3.8,5
Movie340 (2015),5,4.8,5
Movie341 (2015),4.5,4.4,5
Movie342 (2015),4.5,4.4,5
Movie343 (2015),3,3,5
Movie344 (2015),4,4,5
Movie345 (2015),4,4,5
Movie346 (2014),4,4,5
Movie347 (2015),3,2.5,4
Movie348 (2015),3,2.5,4
Movie349 (2015),4,3.5,4
Movie350 (2015),5,4.5,4
Movie351 (2015),5,4.5,4
Movie352 (2015),5,4.5,4
Movie353 (2015),3.5,3.3,4
Movie354 (2015),3.5,3.3,4
Movie355 (2015),3.5,3.3,4
Movie356 (2015),4,3.8,4
Movie357 (2015),4,3.8,4
Movie358 (2015),4,3.8,4
Movie359 (2015),4,3.8,4
Movie360 (2015),4.5,4.3,4
Movie361 (2015),5,4.8,4
Movie362 (2015),5,4.8,4
Movie363 (2015),3,3,4
Movie364 (2015),4,4,4
Movie365 (2015),4,4,4
Movie366 (2015),5,5,4
Movie367 (2015),5,5,4
Movie368 (2015),5,5,4
Movie369 (2015),3,2.7,3
Movie370 (2015),4,3.7,3
Movie371 (2015),4,3.7,3
Movie372 (2015),4,3.7,3
Movie373 (2015),4.5,4.3,3
Movie374 (2015),4.5,4.3,3
Movie375 (2015),4.5,4.3,3
Movie376 (2015),4.5,4.3,3
Movie377 (2015),4,4,3
Movie378 (2015),4,4,3
Movie379 (2015),4,4,3
Movie380 (2015),4,4,3
Movie381 (2015),5,5,3
Movie382 (2015),5,4,2
Movie383 (2015),3,2.5,2
Movie384 (2015),4,3.5,2
Movie385 (2015),2,2,2
Movie386 (2015),3,3,2
Movie387 (2015),3,3,2
Movie388 (2015),3,3,2
Movie389 (2015),3,3,2
Movie390 (2015),3,3,2
Movie391 (2015),3,3,2
Movie392 (2015),4,4,2
Movie393 (2015),4,4,2
Movie394 (2015),5,5,2
Movie395 (2015),5,5,2
Movie396 (2015),5,5,2
Movie397 (2015),5,5,2
Movie398 (2015),5,5,2
Movie399 (2015),5,5,2
Movie400 (2015),5,5,2
Movie401 (2015),1,1,1
Movie402 (2015),1,1,1
Movie403 (2015),1,1,1
Movie404 (2015),2,2,1
Movie405 (2015),2,2,1
Movie406 (2015),3,3,1
Movie407 (2015),3,3,1
Movie408 (2015),3,3,1
Movie409 (2015),3,3,1
Movie410 (2015),3,3,1
Movie411 (2015),3,3,1
Movie412 (2015),3,3,1
Movie413 (2015),3,3,1
Movie414 (2015),3,3,1
Movie415 (2015),4,4,1
Movie416 (2015),4,4,1
Movie417 (2015),4,4,1
Movie418 (2015),4,4,1
Movie419 (2015),4,4,1
Movie420 (2015),4,4,1
Movie421 (2015),4,4,1
Movie422 (2015),5,5,1
Movie423 (2015),5,5,1
Movie424 (2015),5,5,1
Movie425 (2015),5,5,1
Movie426 (2015),5,5,1
Movie427 (2015),5,5,1
Movie428 (2015),5,5,1
Movie429 (2015),5,5,1
Movie430 (2015),5,5,1
Movie431 (2015),5,5,1
Movie432 (2015),5,5,1
Movie433 (2015),5,5,1
Movie434 (2015),5,5,1
Movie435 (2015),5,5,1
Movie436 (2015),0,0,0
Movie437 (2015),0,0,0
Movie438 (2015),0,0,0
Movie439 (2015),0,0,0
Movie440 (2015),0,0,0
Movie441 (2015),0,0,0
Movie442 (2015),0,0,0
Movie443 (2015),0,0,0
Movie444 (2015),0,0,0
Movie445 (2015),0,0,0
Movie446 (2015),0,0,0
Movie447 (2015),0,0,0
Movie448 (2015),0,0,0
Movie449 (2015),0,0,0
Movie450 (2015),0,0,0
Movie451 (2015),0,0,0
Movie452 (2015),0,0,0
Movie453 (2015),0,0,0
Movie454 (2015),0,0,0
Movie455 (2015),0,0,0
Movie456 (2015),0,0,0
Movie457 (2015),0,0,0
Movie458 (2015),0,0,0
Movie459 (2015),0,0,0
Movie460 (2015),0,0,0
Movie461 (2015),0,0,0
Movie462 (2015),0,0,0
Movie463 (2015),0,0,0
Movie464 (2015),0,0,0
Movie465 (2015),0,0,0
Movie466 (2015),0,0,0
Movie467 (2015),0,0,0
Movie468 (2015),0,0,0
Movie469 (2015),0,0,0
Movie470 (2015),0,0,0
Movie471 (2015),0,0,0
Movie472 (2015),0,0,0
Movie473 (2015),0,0,0
Movie474 (2015),0,0,0
Movie475 (2015),0,0,0
Movie476 (2015),0,0,0
Movie477 (2015),0,0,0
Movie478 (2015),0,0,0
Movie479 (2015),0,0,0
Movie480 (2015),0,0,0
Movie481 (2015),0,0,0
Movie482 (2015),0,0,0
Movie483 (2015),0,0,0
Movie484 (2015),0,0,0
Movie485 (2015),0,0,0
Movie486 (2015),0,0,0
Movie487 (2015),0,0,0
Movie488 (2015),0,0,0
Movie489 (2015),0,0,0
Movie490 (2015),0,0,0
Movie491 (2015),0,0,0
Movie492 (2015),0,0,0
Movie493 (2015),0,0,0
Movie494 (2015),0,0,0
Movie495 (2015),0,0,0
Movie496 (2015),0,0,0
Movie497 (2015),0,0,0
Movie498 (2015),0,0,0
Movie499 (2015),0,0,0
Movie500 (2015),0,0,0
Movie501 (2015),0,0,0
Movie502 (2015),0,0,0
Movie503 (1964),0,0,0
Movie504 (2012),0,0,0
